tsne_x,tsne_y,method,family
-18.429459,-30.499851,GT-GAN,Generative AI
-12.794401,-45.736645,GT-GAN,Generative AI
-18.028603,-22.177984,GT-GAN,Generative AI
-17.885223,-32.581863,GT-GAN,Generative AI
-19.657885,-19.649862,GT-GAN,Generative AI
-12.429801,-44.413673,GT-GAN,Generative AI
-13.731042,-46.185352,GT-GAN,Generative AI
-15.214339,-38.364285,GT-GAN,Generative AI
-18.614601,-22.318645,GT-GAN,Generative AI
-15.064263,-39.526386,GT-GAN,Generative AI
-15.022059,-37.418327,GT-GAN,Generative AI
-15.411678,-40.574203,GT-GAN,Generative AI
-18.692102,-28.780308,GT-GAN,Generative AI
-12.924715,-44.888355,GT-GAN,Generative AI
-17.12563,-34.783646,GT-GAN,Generative AI
-18.57937,-29.767101,GT-GAN,Generative AI
-13.896507,-41.12084,GT-GAN,Generative AI
-12.294998,-47.462048,GT-GAN,Generative AI
-15.790951,-39.157326,GT-GAN,Generative AI
-13.41182,-42.74165,GT-GAN,Generative AI
-15.283449,-39.736996,GT-GAN,Generative AI
-17.172243,-34.784393,GT-GAN,Generative AI
-15.948726,-40.658226,GT-GAN,Generative AI
-18.661674,-29.137432,GT-GAN,Generative AI
-12.113781,-43.402157,GT-GAN,Generative AI
-16.430176,-36.428963,GT-GAN,Generative AI
-15.089478,-39.37444,GT-GAN,Generative AI
-15.937649,-39.09489,GT-GAN,Generative AI
-13.912622,-40.542534,GT-GAN,Generative AI
-18.971722,-19.530067,GT-GAN,Generative AI
-18.450191,-30.522488,GT-GAN,Generative AI
-18.303064,-21.326908,GT-GAN,Generative AI
-12.539416,-43.0667,GT-GAN,Generative AI
-14.082615,-45.746216,GT-GAN,Generative AI
-14.989411,-40.80963,GT-GAN,Generative AI
-16.3937,-35.98595,GT-GAN,Generative AI
-12.247085,-47.09972,GT-GAN,Generative AI
-14.301258,-42.368633,GT-GAN,Generative AI
-11.91498,-44.865646,GT-GAN,Generative AI
-12.112034,-45.4475,GT-GAN,Generative AI
-12.693804,-41.851467,GT-GAN,Generative AI
-17.170462,-34.546562,GT-GAN,Generative AI
-12.792379,-41.589657,GT-GAN,Generative AI
-12.040245,-46.158363,GT-GAN,Generative AI
-19.452782,-19.128874,GT-GAN,Generative AI
-18.183151,-19.774734,GT-GAN,Generative AI
-15.091269,-38.24143,GT-GAN,Generative AI
-12.657525,-47.488552,GT-GAN,Generative AI
-16.09855,-38.90292,GT-GAN,Generative AI
-18.63656,-20.837599,GT-GAN,Generative AI
-12.668554,-46.512066,GT-GAN,Generative AI
-16.031021,-38.8474,GT-GAN,Generative AI
-18.314054,-20.28127,GT-GAN,Generative AI
-19.490414,-21.523869,GT-GAN,Generative AI
-13.902372,-40.63557,GT-GAN,Generative AI
-18.609434,-29.545404,GT-GAN,Generative AI
-18.676346,-28.911858,GT-GAN,Generative AI
-17.214193,-34.563587,GT-GAN,Generative AI
-18.056746,-31.95657,GT-GAN,Generative AI
-18.221806,-19.99477,GT-GAN,Generative AI
-15.479611,-38.85173,GT-GAN,Generative AI
-18.659824,-20.251057,GT-GAN,Generative AI
-16.230652,-38.07889,GT-GAN,Generative AI
-15.749166,-38.012463,GT-GAN,Generative AI
-18.956606,-20.630064,GT-GAN,Generative AI
-18.690018,-28.767004,GT-GAN,Generative AI
-18.465843,-30.343979,GT-GAN,Generative AI
-18.181667,-20.49836,GT-GAN,Generative AI
-17.63788,-21.693111,GT-GAN,Generative AI
-16.23354,-37.472466,GT-GAN,Generative AI
-15.294522,-36.99829,GT-GAN,Generative AI
-12.47703,-44.029926,GT-GAN,Generative AI
-18.129095,-20.334354,GT-GAN,Generative AI
-18.80093,-19.388733,GT-GAN,Generative AI
-16.643843,-35.8087,GT-GAN,Generative AI
-12.0096035,-45.13162,GT-GAN,Generative AI
